bin_center_ns,count
1.397,206.0
1.399,190.0
1.401,173.0
1.403,177.0
1.405,144.0
1.407,171.0
1.4089999999999998,192.0
1.4109999999999998,162.0
1.4129999999999998,188.0
1.4149999999999998,174.0
1.4169999999999998,214.0
1.4189999999999998,155.0
1.4209999999999998,168.0
1.4229999999999998,181.0
1.4249999999999998,158.0
1.4269999999999998,157.0
1.4289999999999998,160.0
1.4309999999999998,165.0
1.4329999999999998,190.0
1.4349999999999998,180.0
1.4369999999999998,164.0
1.4389999999999998,199.0
1.4409999999999998,180.0
1.4429999999999998,175.0
1.4449999999999998,164.0
1.4469999999999998,185.0
1.4489999999999998,191.0
1.4509999999999998,180.0
1.4529999999999998,179.0
1.4549999999999998,203.0
1.4569999999999999,168.0
1.4589999999999999,166.0
1.4609999999999999,164.0
1.4629999999999999,173.0
1.4649999999999999,188.0
1.4669999999999999,173.0
1.4689999999999999,160.0
1.4709999999999999,171.0
1.4729999999999999,203.0
1.4749999999999999,170.0
1.4769999999999999,169.0
1.4789999999999999,171.0
1.4809999999999999,181.0
1.4829999999999999,181.0
1.4849999999999999,174.0
1.4869999999999999,180.0
1.4889999999999999,191.0
1.4909999999999999,171.0
1.4929999999999999,152.0
1.4949999999999999,174.0
1.4969999999999999,183.0
1.4989999999999999,155.0
1.501,181.0
1.503,208.0
1.505,176.0
1.507,189.0
1.509,195.0
1.511,192.0
1.513,157.0
1.515,180.0
1.517,169.0
1.519,188.0
1.521,198.0
1.523,183.0
1.525,184.0
1.527,195.0
1.529,159.0
1.531,155.0
1.533,195.0
1.535,175.0
1.537,184.0
1.539,149.0
1.541,176.0
1.543,165.0
1.545,173.0
1.547,199.0
1.549,187.0
1.551,178.0
1.553,157.0
1.555,173.0
1.557,176.0
1.559,202.0
1.561,174.0
1.563,192.0
1.565,193.0
1.567,165.0
1.569,174.0
1.571,165.0
1.573,174.0
1.575,199.0
1.577,194.0
1.579,175.0
1.581,168.0
1.583,185.0
1.585,183.0
1.587,181.0
1.589,196.0
1.591,174.0
1.593,169.0
1.595,169.0
1.597,172.0
1.599,143.0
1.601,180.0
1.603,171.0
1.605,174.0
1.607,176.0
1.609,168.0
1.611,179.0
1.613,166.0
1.615,172.0
1.617,168.0
1.619,199.0
1.621,191.0
1.623,143.0
1.625,171.0
1.627,160.0
1.629,173.0
1.631,151.0
1.633,180.0
1.635,138.0
1.637,167.0
1.639,169.0
1.641,160.0
1.643,165.0
1.645,175.0
1.647,166.0
1.649,171.0
1.651,152.0
1.653,171.0
1.655,172.0
1.657,154.0
1.659,169.0
1.661,177.0
1.663,171.0
1.665,168.0
1.6669999999999998,143.0
1.6689999999999998,172.0
1.6709999999999998,159.0
1.6729999999999998,173.0
1.6749999999999998,185.0
1.6769999999999998,160.0
1.6789999999999998,144.0
1.6809999999999998,180.0
1.6829999999999998,191.0
1.6849999999999998,167.0
1.6869999999999998,176.0
1.6889999999999998,159.0
1.6909999999999998,177.0
1.6929999999999998,149.0
1.6949999999999998,186.0
1.6969999999999998,200.0
1.6989999999999998,153.0
1.7009999999999998,166.0
1.7029999999999998,173.0
1.7049999999999998,169.0
1.7069999999999999,186.0
1.7089999999999999,160.0
1.7109999999999999,173.0
1.7129999999999999,173.0
1.7149999999999999,150.0
1.7169999999999999,175.0
1.7189999999999999,149.0
1.7209999999999999,141.0
1.7229999999999999,174.0
1.7249999999999999,174.0
1.7269999999999999,192.0
1.7289999999999999,163.0
1.7309999999999999,171.0
1.7329999999999999,171.0
1.7349999999999999,155.0
1.7369999999999999,172.0
1.7389999999999999,160.0
1.7409999999999999,153.0
1.7429999999999999,159.0
1.7449999999999999,146.0
1.7469999999999999,168.0
1.7489999999999999,151.0
1.751,152.0
1.753,159.0
1.755,172.0
1.757,188.0
1.759,166.0
1.761,159.0
1.763,171.0
1.765,147.0
1.767,179.0
1.769,164.0
1.771,166.0
1.773,157.0
1.775,156.0
1.777,157.0
1.779,171.0
1.781,165.0
1.783,180.0
1.785,154.0
1.787,157.0
1.789,169.0
1.791,161.0
1.793,161.0
1.795,192.0
1.797,152.0
1.799,155.0
1.801,162.0
1.803,173.0
1.805,153.0
1.807,173.0
1.809,169.0
1.811,164.0
1.813,170.0
1.815,164.0
1.817,157.0
1.819,179.0
1.821,165.0
1.823,162.0
1.825,157.0
1.827,153.0
1.829,156.0
1.831,156.0
1.833,155.0
1.835,167.0
1.837,159.0
1.839,158.0
1.841,144.0
1.843,135.0
1.845,165.0
1.847,152.0
1.849,169.0
1.851,147.0
1.853,147.0
1.855,155.0
1.857,164.0
1.859,183.0
1.861,162.0
1.863,185.0
1.865,149.0
1.867,162.0
1.869,152.0
1.871,161.0
1.873,162.0
1.875,158.0
1.877,174.0
1.879,123.0
1.881,168.0
1.883,161.0
1.885,175.0
1.887,184.0
1.889,191.0
1.891,148.0
1.893,152.0
1.895,157.0
1.897,156.0
1.899,165.0
1.901,156.0
1.903,157.0
1.905,170.0
1.907,165.0
1.909,140.0
1.911,180.0
1.913,157.0
1.915,148.0
1.917,164.0
1.919,170.0
1.9209999999999998,173.0
1.9229999999999998,171.0
1.9249999999999998,158.0
1.9269999999999998,178.0
1.9289999999999998,152.0
1.9309999999999998,155.0
1.9329999999999998,137.0
1.9349999999999998,162.0
1.9369999999999998,157.0
1.9389999999999998,169.0
1.9409999999999998,182.0
