bin_center_ns,count
0.525,3226.0
0.527,3155.0
0.529,3116.0
0.531,3174.0
0.533,3169.0
0.535,3224.0
0.537,3357.0
0.539,3198.0
0.541,3293.0
0.543,3129.0
0.545,3346.0
0.547,3363.0
0.549,3259.0
0.551,3263.0
0.553,3327.0
0.555,3321.0
0.557,3223.0
0.559,3312.0
0.561,3265.0
0.5630000000000001,3282.0
0.5650000000000001,3307.0
0.5670000000000001,3230.0
0.5690000000000001,3415.0
0.5710000000000001,3312.0
0.5730000000000001,3415.0
0.5750000000000001,3370.0
0.5770000000000001,3328.0
0.579,3302.0
0.581,3266.0
0.583,3359.0
0.585,3332.0
0.587,3432.0
0.589,3436.0
0.591,3395.0
0.593,3257.0
0.595,3366.0
0.597,3197.0
0.599,3395.0
0.601,3458.0
0.603,3455.0
0.605,3432.0
0.607,3513.0
0.609,3374.0
0.611,3483.0
0.613,3378.0
0.615,3456.0
0.617,3435.0
0.619,3487.0
0.621,3454.0
0.623,3365.0
0.625,3349.0
0.627,3485.0
0.629,3379.0
0.631,3454.0
0.633,3491.0
0.635,3439.0
0.637,3436.0
0.639,3401.0
0.641,3488.0
0.643,3521.0
0.645,3492.0
0.647,3434.0
0.649,3592.0
0.651,3517.0
0.653,3564.0
0.655,3516.0
0.657,3442.0
0.659,3586.0
0.661,3464.0
0.663,3543.0
0.665,3493.0
0.667,3556.0
0.669,3592.0
0.671,3464.0
0.673,3547.0
0.675,3585.0
0.677,3564.0
0.679,3712.0
0.681,3639.0
0.683,3639.0
0.685,3532.0
0.687,3641.0
0.6890000000000001,3635.0
0.6910000000000001,3504.0
0.6930000000000001,3516.0
0.6950000000000001,3614.0
0.6970000000000001,3474.0
0.6990000000000001,3544.0
0.7010000000000001,3592.0
0.7030000000000001,3555.0
0.705,3594.0
0.707,3471.0
0.709,3681.0
0.711,3690.0
0.713,3671.0
0.715,3587.0
0.717,3562.0
0.719,3638.0
0.721,3659.0
0.723,3646.0
0.725,3688.0
0.727,3511.0
0.729,3642.0
0.731,3542.0
0.733,3709.0
0.735,3624.0
0.737,3642.0
0.739,3740.0
0.741,3556.0
0.743,3733.0
0.745,3599.0
0.747,3736.0
0.749,3773.0
0.751,3539.0
0.753,3683.0
0.755,3668.0
0.757,3764.0
0.759,3676.0
0.761,3665.0
0.763,3712.0
0.765,3597.0
0.767,3548.0
0.769,3728.0
0.771,3645.0
0.773,3686.0
0.775,3663.0
0.777,3677.0
0.779,3618.0
0.781,3632.0
0.783,3709.0
0.785,3769.0
0.787,3675.0
0.789,3695.0
0.791,3680.0
0.793,3641.0
0.795,3684.0
0.797,3694.0
0.799,3684.0
0.801,3592.0
0.803,3795.0
0.805,3649.0
0.807,3738.0
0.809,3657.0
0.811,3704.0
0.8130000000000001,3647.0
0.8150000000000001,3744.0
0.8170000000000001,3751.0
0.8190000000000001,3742.0
0.8210000000000001,3667.0
0.8230000000000001,3721.0
0.8250000000000001,3759.0
0.8270000000000001,3676.0
0.8290000000000001,3781.0
0.8310000000000001,3787.0
0.8330000000000001,3742.0
0.835,3633.0
0.837,3745.0
0.839,3804.0
0.841,3708.0
0.843,3662.0
0.845,3736.0
0.847,3821.0
0.849,3749.0
0.851,3804.0
0.853,3632.0
0.855,3703.0
0.857,3664.0
0.859,3801.0
0.861,3679.0
0.863,3780.0
0.865,3753.0
0.867,3924.0
0.869,3810.0
0.871,3706.0
0.873,3741.0
0.875,3785.0
0.877,3676.0
0.879,3750.0
0.881,3826.0
0.883,3687.0
0.885,3729.0
0.887,3809.0
0.889,3740.0
0.891,3828.0
0.893,3695.0
0.895,3761.0
0.897,3850.0
0.899,3782.0
0.901,3736.0
0.903,3749.0
0.905,3776.0
0.907,3760.0
0.909,3753.0
0.911,3759.0
0.913,3763.0
0.915,3761.0
0.917,3820.0
0.919,3751.0
0.921,3826.0
0.923,3945.0
0.925,3751.0
0.927,3822.0
0.929,3681.0
0.931,3864.0
0.933,3736.0
0.935,3752.0
0.937,3742.0
0.9390000000000001,3623.0
0.9410000000000001,3774.0
0.9430000000000001,3729.0
0.9450000000000001,3757.0
0.9470000000000001,3822.0
0.9490000000000001,3765.0
0.9510000000000001,3768.0
0.9530000000000001,3741.0
0.9550000000000001,3754.0
0.9570000000000001,3917.0
0.9590000000000001,3797.0
0.961,3837.0
0.963,3761.0
0.965,3884.0
0.967,3777.0
0.969,3737.0
0.971,3805.0
0.973,3775.0
0.975,3793.0
0.977,3840.0
0.979,3787.0
0.981,3814.0
0.983,3749.0
0.985,3827.0
0.987,3758.0
0.989,3678.0
0.991,3807.0
0.993,3803.0
0.995,3848.0
0.997,3730.0
0.999,3629.0
1.001,3786.0
1.003,3835.0
1.005,3801.0
1.007,3687.0
1.009,3761.0
1.011,3753.0
1.013,3761.0
1.015,3752.0
1.017,3795.0
1.019,3743.0
1.021,3803.0
1.023,3789.0
1.025,3832.0
1.027,3738.0
1.029,3832.0
1.031,3652.0
1.033,3839.0
1.035,3677.0
1.037,3837.0
1.039,3696.0
1.041,3800.0
1.043,3595.0
1.045,3755.0
1.047,3723.0
1.049,3720.0
1.051,3788.0
1.053,3753.0
1.055,3773.0
1.057,3767.0
1.059,3727.0
1.061,3797.0
1.063,3726.0
1.065,3652.0
1.067,3857.0
1.069,3892.0
1.071,3852.0
1.073,3729.0
1.075,3758.0
1.077,3767.0
1.079,3793.0
1.081,3754.0
1.083,3814.0
1.085,3712.0
1.087,3774.0
1.089,3775.0
