x_mm,ch_id,ch_pos_mm,n,mean_tn_ns,rms_tn_ns,stat_floor_ns,mean_npe
-690,24,-532.0,18,2.074406,0.233968,0.086279,88.5125
-690,24,-532.0,19,2.119790,0.242813,0.088643,88.5125
-690,24,-532.0,20,2.163667,0.249641,0.090946,88.5125
0,46,-92.0,1,0.701114,0.096739,0.012295,146.4045
0,46,-92.0,2,0.792235,0.117548,0.017387,146.4045
0,46,-92.0,3,0.871568,0.125438,0.021295,146.4045
0,46,-92.0,4,0.938943,0.124556,0.024589,146.4045
0,46,-92.0,5,0.997294,0.123246,0.027492,146.4045
0,46,-92.0,6,1.048610,0.121410,0.030116,146.4045
0,46,-92.0,7,1.095033,0.122786,0.032529,146.4045
0,46,-92.0,8,1.138890,0.124936,0.034775,146.4045
0,46,-92.0,9,1.182433,0.126790,0.036884,146.4045
0,46,-92.0,10,1.220797,0.128424,0.038879,146.4045
0,46,-92.0,11,1.258348,0.132416,0.040777,146.4045
0,46,-92.0,12,1.293802,0.135331,0.042590,146.4045
0,46,-92.0,13,1.327256,0.138647,0.044329,146.4045
0,46,-92.0,14,1.361230,0.141517,0.046003,146.4045
0,46,-92.0,15,1.395210,0.145587,0.047617,146.4045
0,46,-92.0,16,1.427630,0.147966,0.049179,146.4045
0,46,-92.0,17,1.459076,0.150868,0.050692,146.4045
0,46,-92.0,18,1.490586,0.154052,0.052162,146.4045
0,46,-92.0,19,1.519402,0.157538,0.053591,146.4045
0,46,-92.0,20,1.550227,0.160347,0.054984,146.4045
0,47,-72.0,1,0.594706,0.084722,0.012002,149.9710
0,47,-72.0,2,0.672758,0.111907,0.016974,149.9710
0,47,-72.0,3,0.748018,0.121962,0.020789,149.9710
0,47,-72.0,4,0.814207,0.127523,0.024005,149.9710
0,47,-72.0,5,0.874304,0.131142,0.026838,149.9710
0,47,-72.0,6,0.929707,0.133291,0.029400,149.9710
0,47,-72.0,7,0.980465,0.134279,0.031755,149.9710
0,47,-72.0,8,1.026121,0.134553,0.033948,149.9710
0,47,-72.0,9,1.068516,0.136241,0.036007,149.9710
0,47,-72.0,10,1.108416,0.137230,0.037955,149.9710
0,47,-72.0,11,1.144710,0.138258,0.039807,149.9710
0,47,-72.0,12,1.180537,0.140517,0.041577,149.9710
0,47,-72.0,13,1.214667,0.142582,0.043275,149.9710
0,47,-72.0,14,1.247174,0.144826,0.044909,149.9710
0,47,-72.0,15,1.279058,0.146496,0.046485,149.9710
0,47,-72.0,16,1.310655,0.148764,0.048009,149.9710
0,47,-72.0,17,1.341255,0.151217,0.049487,149.9710
0,47,-72.0,18,1.371703,0.153733,0.050922,149.9710
0,47,-72.0,19,1.400566,0.156268,0.052317,149.9710
0,47,-72.0,20,1.429136,0.158046,0.053676,149.9710
0,48,-52.0,1,0.494652,0.062300,0.009178,196.1200
0,48,-52.0,2,0.553242,0.095653,0.012980,196.1200
0,48,-52.0,3,0.616528,0.108797,0.015897,196.1200
0,48,-52.0,4,0.673810,0.107885,0.018356,196.1200
0,48,-52.0,5,0.721998,0.108182,0.020523,196.1200
0,48,-52.0,6,0.766224,0.108266,0.022482,196.1200
0,48,-52.0,7,0.807221,0.109525,0.024283,196.1200
0,48,-52.0,8,0.844959,0.111364,0.025959,196.1200
0,48,-52.0,9,0.881150,0.111907,0.027534,196.1200
0,48,-52.0,10,0.914554,0.111738,0.029024,196.1200
0,48,-52.0,11,0.946813,0.112222,0.030440,196.1200
0,48,-52.0,12,0.976658,0.112749,0.031794,196.1200
0,48,-52.0,13,1.005025,0.114380,0.033092,196.1200
0,48,-52.0,14,1.033023,0.116410,0.034341,196.1200
0,48,-52.0,15,1.059586,0.118401,0.035546,196.1200
0,48,-52.0,16,1.085412,0.119879,0.036712,196.1200
0,48,-52.0,17,1.110259,0.121381,0.037842,196.1200
0,48,-52.0,18,1.133918,0.123745,0.038939,196.1200
0,48,-52.0,19,1.157549,0.126657,0.040006,196.1200
0,48,-52.0,20,1.179939,0.128064,0.041046,196.1200
0,49,-32.0,1,0.404646,0.030995,0.006367,282.7035
0,49,-32.0,2,0.430624,0.063504,0.009004,282.7035
0,49,-32.0,3,0.468214,0.087155,0.011028,282.7035
0,49,-32.0,4,0.513597,0.100366,0.012734,282.7035
0,49,-32.0,5,0.560374,0.102099,0.014237,282.7035
0,49,-32.0,6,0.601561,0.098509,0.015596,282.7035
0,49,-32.0,7,0.637761,0.094234,0.016846,282.7035
0,49,-32.0,8,0.670484,0.091051,0.018009,282.7035
0,49,-32.0,9,0.699568,0.092160,0.019101,282.7035
0,49,-32.0,10,0.725686,0.093185,0.020135,282.7035
0,49,-32.0,11,0.751173,0.093904,0.021117,282.7035
0,49,-32.0,12,0.774998,0.094399,0.022056,282.7035
0,49,-32.0,13,0.798337,0.094632,0.022957,282.7035
0,49,-32.0,14,0.820005,0.094887,0.023823,282.7035
0,49,-32.0,15,0.842482,0.094528,0.024660,282.7035
0,49,-32.0,16,0.862720,0.094570,0.025468,282.7035
0,49,-32.0,17,0.883119,0.095240,0.026252,282.7035
0,49,-32.0,18,0.902109,0.096411,0.027013,282.7035
0,49,-32.0,19,0.920916,0.097664,0.027754,282.7035
0,49,-32.0,20,0.938331,0.099187,0.028475,282.7035
0,50,-12.0,1,0.351060,0.011021,0.004427,406.5570
0,50,-12.0,2,0.357469,0.025868,0.006261,406.5570
0,50,-12.0,3,0.368708,0.043773,0.007669,406.5570
0,50,-12.0,4,0.386221,0.061150,0.008855,406.5570
0,50,-12.0,5,0.414221,0.079420,0.009900,406.5570
0,50,-12.0,6,0.444740,0.089702,0.010845,406.5570
0,50,-12.0,7,0.479702,0.093188,0.011714,406.5570
0,50,-12.0,8,0.512858,0.092345,0.012523,406.5570
0,50,-12.0,9,0.541216,0.089232,0.013282,406.5570
